Model,Configuration,Task,Accuracy
Llama-3.1-8B,dense,piqa,0.7927094668117519
Llama-3.1-8B,dense,hellaswag,0.606652061342362
Llama-3.1-8B,dense,arc_easy,0.821969696969697
Llama-3.1-8B,dense,boolq,0.8308868501529052
Llama-3.1-8B,dense,rte,0.7111913357400722
Llama-3.1-8B,dense,average,0.7526818822033576
Llama-3.1-8B,magnitude_30,piqa,0.766050054406964
Llama-3.1-8B,magnitude_30,hellaswag,0.5637323242381995
Llama-3.1-8B,magnitude_30,arc_easy,0.7836700336700336
Llama-3.1-8B,magnitude_30,boolq,0.8018348623853211
Llama-3.1-8B,magnitude_30,rte,0.6714801444043321
Llama-3.1-8B,magnitude_30,average,0.7173534838209701
Llama-3.1-8B,wanda_30,piqa,0.7834602829162133
Llama-3.1-8B,wanda_30,hellaswag,0.5954989046006771
Llama-3.1-8B,wanda_30,arc_easy,0.8051346801346801
Llama-3.1-8B,wanda_30,boolq,0.8293577981651377
Llama-3.1-8B,wanda_30,rte,0.7111913357400722
Llama-3.1-8B,wanda_30,average,0.7449286003113561
Llama-3.1-8B,magnitude_50,piqa,0.704570184983678
Llama-3.1-8B,magnitude_50,hellaswag,0.4326827325234017
Llama-3.1-8B,magnitude_50,arc_easy,0.6220538720538721
Llama-3.1-8B,magnitude_50,boolq,0.5241590214067279
Llama-3.1-8B,magnitude_50,rte,0.5379061371841155
Llama-3.1-8B,magnitude_50,average,0.564274389630359
Llama-3.1-8B,wanda_50,piqa,0.7388465723612623
Llama-3.1-8B,wanda_50,hellaswag,0.5052778331009758
Llama-3.1-8B,wanda_50,arc_easy,0.7184343434343434
Llama-3.1-8B,wanda_50,boolq,0.7914373088685015
Llama-3.1-8B,wanda_50,rte,0.5487364620938628
Llama-3.1-8B,wanda_50,average,0.6605465039717892
Llama-3.1-8B,magnitude_70,piqa,0.5473340587595212
Llama-3.1-8B,magnitude_70,hellaswag,0.264389563831906
Llama-3.1-8B,magnitude_70,arc_easy,0.29713804713804715
Llama-3.1-8B,magnitude_70,boolq,0.3782874617737003
Llama-3.1-8B,magnitude_70,rte,0.5270758122743683
Llama-3.1-8B,magnitude_70,average,0.40284498875550856
Llama-3.1-8B,wanda_70,piqa,0.5516866158868335
Llama-3.1-8B,wanda_70,hellaswag,0.2748456482772356
Llama-3.1-8B,wanda_70,arc_easy,0.32323232323232326
Llama-3.1-8B,wanda_70,boolq,0.44434250764525995
Llama-3.1-8B,wanda_70,rte,0.5270758122743683
Llama-3.1-8B,wanda_70,average,0.42423658146320414
